TestID,Gender,DOB,DOT,AgeTest,Group,cditotal,butterfly,cat,dog,duck,apple,tree
150008,M,Redacted,Redacted,15.38,16,0,0,0,0,0,0,0
150009,M,Redacted,Redacted,15.31,16,0,0,0,0,0,0,0
150010,M,Redacted,Redacted,15.15,16,0,0,0,0,0,0,0
160292,M,Redacted,Redacted,16.3,16,0,0,0,0,0,0,0
160293,M,Redacted,Redacted,16.3,16,0,0,0,0,0,0,0
160294,M,Redacted,Redacted,16.66,16,68,0,0,1,0,0,0
160295,M,Redacted,Redacted,15.9,16,110,0,1,2,0,2,0
160296,M,Redacted,Redacted,15.77,16,147,0,1,1,1,1,1
160297,F,Redacted,Redacted,15.93,16,98,1,1,1,1,2,0
160298,F,Redacted,Redacted,15.44,16,139,1,2,1,1,0,2
160299,M,Redacted,Redacted,16.16,16,60,0,2,1,2,1,0
160300,M,Redacted,Redacted,16.33,16,62,0,1,1,2,0,0
160301,M,Redacted,Redacted,16.39,16,0,0,0,0,0,0,0
160302,M,Redacted,Redacted,16.53,16,323,2,2,2,2,2,2
160303,M,Redacted,Redacted,16.66,16,0,0,0,0,0,0,0
160305,M,Redacted,Redacted,16.46,16,0,0,0,0,0,0,0
160306,F,Redacted,Redacted,16.39,16,34,2,2,1,2,0,0
160307,M,Redacted,Redacted,16.49,16,0,0,0,0,0,0,0
160308,F,Redacted,Redacted,16.36,16,86,0,2,2,2,0,0
160309,M,Redacted,Redacted,16.89,16,206,1,1,1,1,1,1
150011,M,Redacted,Redacted,14.49,16,0,0,0,0,0,0,0
160310,M,Redacted,Redacted,15.44,16,0,0,0,0,0,0,0
160311,M,Redacted,Redacted,16.95,16,0,0,0,0,0,0,0
160313,F,Redacted,Redacted,16.46,16,52,0,1,1,0,0,0
160314,F,Redacted,Redacted,16.36,16,100,0,2,1,2,1,0
160315,F,Redacted,Redacted,16.39,16,292,2,2,1,2,1,2
160316,F,Redacted,Redacted,17.05,16,120,0,1,1,1,0,0
190003,M,Redacted,Redacted,19.06,19,132,1,1,1,2,1,0
190006,F,Redacted,Redacted,19.42,19,0,0,0,0,0,0,0
190009,M,Redacted,Redacted,19.75,19,0,0,0,0,0,0,0
190010,M,Redacted,Redacted,19.81,19,153,1,1,1,1,2,1
190011,M,Redacted,Redacted,19.81,19,153,1,1,1,1,2,1
190012,F,Redacted,Redacted,19.65,19,216,1,2,2,2,1,0
190013,M,Redacted,Redacted,19.98,19,137,0,1,1,2,1,1
190014,M,Redacted,Redacted,19.81,19,67,0,2,1,1,0,0
190015,F,Redacted,Redacted,19.58,19,306,2,2,2,2,2,1
190017,M,Redacted,Redacted,19.98,19,0,0,0,0,0,0,0
190019,F,Redacted,Redacted,19.02,19,223,1,2,2,2,1,1
190020,F,Redacted,Redacted,18.63,19,118,0,1,2,2,0,2
190021,M,Redacted,Redacted,18.86,19,167,1,1,1,1,0,1
190022,M,Redacted,Redacted,19.88,19,262,1,1,2,2,2,1
190024,F,Redacted,Redacted,19.02,19,245,1,2,2,2,1,1
190025,F,Redacted,Redacted,19.22,19,0,0,0,0,0,0,0
190026,M,Redacted,Redacted,19.78,19,217,0,1,2,1,2,0
190028,F,Redacted,Redacted,19.58,19,331,2,2,2,2,2,2
190030,F,Redacted,Redacted,20.01,19,0,0,0,0,0,0,0
190033,F,Redacted,Redacted,18.83,19,0,0,0,0,0,0,0
190034,F,Redacted,Redacted,18.66,19,0,0,0,0,0,0,0
190035,M,Redacted,Redacted,20.53,19,379,2,2,2,2,2,2
190036,M,Redacted,Redacted,18.56,19,132,0,0,2,2,0,0
190037,M,Redacted,Redacted,19.84,19,154,2,2,2,2,1,0
190038,F,Redacted,Redacted,19.35,19,168,0,2,2,1,1,1
210042,M,Redacted,Redacted,21.85,19,334,2,2,2,2,2,2
210043,M,Redacted,Redacted,21.13,19,308,2,2,2,2,2,2
210044,F,Redacted,Redacted,20.86,19,342,2,2,2,2,2,2
210045,F,Redacted,Redacted,20.5,19,306,2,2,2,2,2,2
190048,F,Redacted,Redacted,18.92,19,138,1,2,1,2,1,1
160321,M,Redacted,Redacted,15.47,16,140,1,1,1,1,0,1
160322,M,Redacted,Redacted,16.23,16,152,1,1,2,2,1,1
160323,M,Redacted,Redacted,15.47,16,21,0,0,0,1,0,0
160324,F,Redacted,Redacted,16.07,16,143,1,1,1,1,1,1
160325,M,Redacted,Redacted,16.39,16,175,0,0,1,0,0,0
160326,F,Redacted,Redacted,16.43,16,230,1,2,1,2,1,2
160327,F,Redacted,Redacted,16.43,16,85,0,1,1,1,0,0
160328,M,Redacted,Redacted,16.53,16,96,0,1,2,0,0,0
190049,M,Redacted,Redacted,18.56,19,216,1,2,1,1,1,1
190050,F,Redacted,Redacted,18.76,19,339,1,2,1,2,2,1
160329,M,Redacted,Redacted,16.39,16,145,0,2,1,1,1,0
190052,M,Redacted,Redacted,19.91,19,329,1,1,2,1,2,1
190054,M,Redacted,Redacted,18.69,19,230,1,1,1,1,1,1
190053,M,Redacted,Redacted,18.69,19,230,1,1,1,1,1,1
190055,F,Redacted,Redacted,18.89,19,0,0,0,0,0,0,0
190056,F,Redacted,Redacted,19.45,19,0,0,0,0,0,0,0
190057,F,Redacted,Redacted,18.76,19,285,1,2,1,2,1,1
190058,M,Redacted,Redacted,18.69,19,0,0,0,0,0,0,0
160317,M,Redacted,Redacted,16.43,16,0,0,0,0,0,0,0
160318,F,Redacted,Redacted,16.39,16,90,0,1,1,0,0,0
160319,M,Redacted,Redacted,16.3,16,230,1,1,1,2,1,1
160320,F,Redacted,Redacted,16.49,16,73,0,0,2,2,0,0
160330,F,Redacted,Redacted,16.69,16,279,1,1,2,2,1,1
190059,M,Redacted,Redacted,18.86,19,110,0,2,2,2,1,1
190060,F,Redacted,Redacted,19.35,19,410,2,2,2,2,2,2
160331,M,Redacted,Redacted,16.23,16,50,0,1,0,0,1,0
190061,F,Redacted,Redacted,19.25,19,336,1,2,2,2,1,1
190062,F,Redacted,Redacted,19.81,19,0,0,0,0,0,0,0
160332,M,Redacted,Redacted,16.13,16,103,0,2,1,2,2,0
160333,F,Redacted,Redacted,16.62,16,223,1,1,1,1,1,1
190063,M,Redacted,Redacted,19.65,19,375,1,1,1,2,1,1
160334,M,Redacted,Redacted,16.79,16,182,1,2,1,2,1,1
160335,M,Redacted,Redacted,16.13,16,175,1,1,1,1,1,0
190065,M,Redacted,Redacted,19.45,19,163,0,2,1,1,0,0
190066,M,Redacted,Redacted,19.15,19,82,0,1,1,1,0,0
160336,F,Redacted,Redacted,16.36,16,64,1,1,1,1,1,1
160337,M,Redacted,Redacted,16.43,16,100,1,2,2,2,1,0
160338,F,Redacted,Redacted,15.77,16,0,0,0,0,0,0,0
190067,F,Redacted,Redacted,19.15,19,151,0,2,2,2,0,1
160339,M,Redacted,Redacted,16.16,16,201,0,1,1,1,2,1
190068,F,Redacted,Redacted,19.84,19,393,2,2,2,2,2,2
190070,F,Redacted,Redacted,18.96,19,372,2,2,2,2,2,2
190071,M,Redacted,Redacted,18.79,19,166,1,2,2,2,1,2
190072,M,Redacted,Redacted,19.75,19,230,1,1,1,2,1,1
190073,F,Redacted,Redacted,19.71,19,176,1,2,2,2,2,1
190074,M,Redacted,Redacted,19.35,19,227,0,2,2,1,0,0
190075,F,Redacted,Redacted,20.17,19,0,0,0,0,0,0,0
160340,M,Redacted,Redacted,16.23,16,202,0,2,2,2,1,1
160341,M,Redacted,Redacted,16.46,16,0,0,0,0,0,0,0
160342,M,Redacted,Redacted,16.03,16,237,0,0,1,1,1,1
160343,F,Redacted,Redacted,16.03,16,258,1,2,2,2,2,1
160344,F,Redacted,Redacted,16.23,16,92,0,1,1,1,0,1
160345,M,Redacted,Redacted,16.53,16,30,0,1,1,1,1,0
190076,F,Redacted,Redacted,19.19,19,0,0,0,0,0,0,0
160346,F,Redacted,Redacted,16.3,16,108,0,0,1,2,0,1
190077,F,Redacted,Redacted,19.19,19,229,1,1,1,1,1,1
160347,M,Redacted,Redacted,16.56,16,353,2,1,2,2,2,1
160348,F,Redacted,Redacted,16.49,16,62,0,1,1,0,0,0
190078,M,Redacted,Redacted,20.04,19,185,1,1,2,1,2,2
160349,F,Redacted,Redacted,16.3,16,330,1,1,1,1,1,1
